"dir_parent","dir_file","dir_id","dir_url"
"qc","cases-percentage-by-age-group-en","1tIW1eONhV1tvhYbappJ44zfvzTpb2RSA","https://drive.google.com/drive/folders/1tIW1eONhV1tvhYbappJ44zfvzTpb2RSA"
"qc","comparisons-countries","1x0RZUSKCk7Ou6Z9i7udfuxe7WgQDfZwU","https://drive.google.com/drive/folders/1x0RZUSKCk7Ou6Z9i7udfuxe7WgQDfZwU"
"qc","comparisons-provinces","1060dqZQJ2SMkygJHNSEsl3FSTXE6TMIX","https://drive.google.com/drive/folders/1060dqZQJ2SMkygJHNSEsl3FSTXE6TMIX"
"qc","correctional-cases-detainees","1WjUeIALF5440iKvvEUvm6cyDav4rYDcq","https://drive.google.com/drive/folders/1WjUeIALF5440iKvvEUvm6cyDav4rYDcq"
"qc","correctional-cases-detainees-en","1aBEKVOBqMqpqShE_feXQTvHDgZC3M1dl","https://drive.google.com/drive/folders/1aBEKVOBqMqpqShE_feXQTvHDgZC3M1dl"
"qc","correctional-cases-employees","1FZ8Edx6Xv2cx1mOsh7a5FFY1nI3UGLYE","https://drive.google.com/drive/folders/1FZ8Edx6Xv2cx1mOsh7a5FFY1nI3UGLYE"
"qc","correctional-cases-employees-en","18PcQcnuS0gPLi7D2Tnd40l7VOMeJm4hf","https://drive.google.com/drive/folders/18PcQcnuS0gPLi7D2Tnd40l7VOMeJm4hf"
"qc","covid-data","1Mx9H2AfYncQGifc_lNcUWr32MrPIepc7","https://drive.google.com/drive/folders/1Mx9H2AfYncQGifc_lNcUWr32MrPIepc7"
"qc","covid-data-by-age-and-sex","1o7tM8U8BiLufnEecVEZthKHactdv1UfY","https://drive.google.com/drive/folders/1o7tM8U8BiLufnEecVEZthKHactdv1UfY"
"qc","covid-data-charts","11lkpfIvQW6tVH4c7w6ZlQ36R4mMudbxX","https://drive.google.com/drive/folders/11lkpfIvQW6tVH4c7w6ZlQ36R4mMudbxX"
"qc","covid-data-charts-summary-time-series-hosp-by-age","1imkAJIUffYtI5KaYZxgiAtagXXDwckoX","https://drive.google.com/drive/folders/1imkAJIUffYtI5KaYZxgiAtagXXDwckoX"
"qc","covid-data-daily-7-days","1-1Y6dKczLPQU5Rm48eTzJVf9Vpio2pas","https://drive.google.com/drive/folders/1-1Y6dKczLPQU5Rm48eTzJVf9Vpio2pas"
"qc","covid-data-daily-7-days-en","1hiLaw3OLYZK9FIHs68iBheGdJXGRy-9E","https://drive.google.com/drive/folders/1hiLaw3OLYZK9FIHs68iBheGdJXGRy-9E"
"qc","covid-time-series-by-region","11scpEF8GUwV_qRCLTn-y9-po6PHiZYmW","https://drive.google.com/drive/folders/11scpEF8GUwV_qRCLTn-y9-po6PHiZYmW"
"qc","covid-time-series-by-region-and-demographics","18IVG9ivYK-kQ7joEZptyje6fu0rf4T7M","https://drive.google.com/drive/folders/18IVG9ivYK-kQ7joEZptyje6fu0rf4T7M"
"qc","cumulative-deaths-by-region","1RH4vu1SlIefnk-tr1qaKueJrVsSDUrk7","https://drive.google.com/drive/folders/1RH4vu1SlIefnk-tr1qaKueJrVsSDUrk7"
"qc","cumulative-deaths-by-region-en","1uL2HHOqEDTl3GoBJDo2EAxkzl2OFw34F","https://drive.google.com/drive/folders/1uL2HHOqEDTl3GoBJDo2EAxkzl2OFw34F"
"qc","deaths-by-rss-and-living-environment","1w5VHBvF3JTQ12Y_gKMGGOcszpvSY8rwy","https://drive.google.com/drive/folders/1w5VHBvF3JTQ12Y_gKMGGOcszpvSY8rwy"
"qc","deaths-percentage-by-age-group","1Ef1oPsTMGckPZu3sG87zDRjJRWdp864t","https://drive.google.com/drive/folders/1Ef1oPsTMGckPZu3sG87zDRjJRWdp864t"
"qc","deaths-percentage-by-age-group-en","1CPP_HMuwljqcktPUgM8TaZK3DF7fRJP9","https://drive.google.com/drive/folders/1CPP_HMuwljqcktPUgM8TaZK3DF7fRJP9"
