date,outbreak_group,outbreak_subgroup,number_ongoing_outbreaks
11/20/2020,3 Education,11 Child care,48
11/20/2020,3 Education,7 School - Elementary,67
11/20/2020,3 Education,8 School - Secondary,18
11/20/2020,3 Education,9 School - Elementary/Secondary,5
11/20/2020,4 Workplace,12 Workplace - Farm,5
11/20/2020,4 Workplace,13 Workplace - Food Processing,18
11/20/2020,4 Workplace,14 Workplace - Other,135
11/20/2020,4 Workplace,15 Retail,20
11/20/2020,4 Workplace,16 Medical/Health Service,8
11/20/2020,5 Recreational,17 Bar/restaurant/nightclub,22
11/20/2020,5 Recreational,19 Recreational fitness,10
11/20/2020,5 Recreational,21 Other recreation,22
11/20/2020,6 Other/Unknown,23 Other,12
11/20/2020,6 Other/Unknown,24 Unknown,6
11/21/2020,1 Congregate Care,1 Long-Term Care Homes,97
11/21/2020,1 Congregate Care,2 Hospitals,29
11/21/2020,1 Congregate Care,3 Retirement Homes,63
11/21/2020,2 Congregate Living,18 Short-term accommodations,2
11/21/2020,2 Congregate Living,22 Congregate other,8
11/21/2020,2 Congregate Living,4 Group Home/Supportive Housing,29
11/21/2020,2 Congregate Living,5 Correctional Facility,2
11/21/2020,2 Congregate Living,6 Shelter,11
11/21/2020,3 Education,10 School - Post-Secondary,2
11/21/2020,3 Education,11 Child care,48
11/21/2020,3 Education,7 School - Elementary,66
11/21/2020,3 Education,8 School - Secondary,19
11/21/2020,3 Education,9 School - Elementary/Secondary,4
11/21/2020,4 Workplace,12 Workplace - Farm,5
11/21/2020,4 Workplace,13 Workplace - Food Processing,18
11/21/2020,4 Workplace,14 Workplace - Other,138
11/21/2020,4 Workplace,15 Retail,19
11/21/2020,4 Workplace,16 Medical/Health Service,8
11/21/2020,5 Recreational,17 Bar/restaurant/nightclub,25
11/21/2020,5 Recreational,19 Recreational fitness,11
11/21/2020,5 Recreational,21 Other recreation,24
11/21/2020,6 Other/Unknown,23 Other,13
11/21/2020,6 Other/Unknown,24 Unknown,3
11/22/2020,1 Congregate Care,1 Long-Term Care Homes,97
11/22/2020,1 Congregate Care,2 Hospitals,28
11/22/2020,1 Congregate Care,3 Retirement Homes,63
11/22/2020,2 Congregate Living,18 Short-term accommodations,2
11/22/2020,2 Congregate Living,22 Congregate other,9
11/22/2020,2 Congregate Living,4 Group Home/Supportive Housing,27
11/22/2020,2 Congregate Living,5 Correctional Facility,2
11/22/2020,2 Congregate Living,6 Shelter,11
11/22/2020,3 Education,10 School - Post-Secondary,2
11/22/2020,3 Education,11 Child care,48
11/22/2020,3 Education,7 School - Elementary,70
11/22/2020,3 Education,8 School - Secondary,18
11/22/2020,3 Education,9 School - Elementary/Secondary,4
11/22/2020,4 Workplace,12 Workplace - Farm,4
11/22/2020,4 Workplace,13 Workplace - Food Processing,18
11/22/2020,4 Workplace,14 Workplace - Other,143
11/22/2020,4 Workplace,15 Retail,20
11/22/2020,4 Workplace,16 Medical/Health Service,8
11/22/2020,5 Recreational,17 Bar/restaurant/nightclub,25
11/22/2020,5 Recreational,19 Recreational fitness,12
11/22/2020,5 Recreational,21 Other recreation,23
11/22/2020,6 Other/Unknown,23 Other,19
11/22/2020,6 Other/Unknown,24 Unknown,5
11/23/2020,1 Congregate Care,1 Long-Term Care Homes,97
11/23/2020,1 Congregate Care,2 Hospitals,29
11/23/2020,1 Congregate Care,3 Retirement Homes,63
